Prob Thresh: 0.01 | Time:    26 | Score: 243004.0 | Mv/Sec: 352.50 | Pt/Sec: 9346.31 | Max Tile: 14
Prob Thresh: 0.01 | Time:    21 | Score: 177400.0 | Mv/Sec: 356.19 | Pt/Sec: 8447.62 | Max Tile: 13
Prob Thresh: 0.01 | Time:    20 | Score: 174096.0 | Mv/Sec: 363.90 | Pt/Sec: 8704.80 | Max Tile: 13
Prob Thresh: 0.01 | Time:    20 | Score: 177316.0 | Mv/Sec: 372.90 | Pt/Sec: 8865.80 | Max Tile: 13
Prob Thresh: 0.01 | Time:    90 | Score: 771448.0 | Mv/Sec: 296.87 | Pt/Sec: 8571.64 | Max Tile: 15
Prob Thresh: 0.01 | Time:    47 | Score: 386396.0 | Mv/Sec: 315.32 | Pt/Sec: 8221.19 | Max Tile: 14
Prob Thresh: 0.01 | Time:    46 | Score: 386140.0 | Mv/Sec: 322.17 | Pt/Sec: 8394.35 | Max Tile: 14
Prob Thresh: 0.01 | Time:    20 | Score: 177184.0 | Mv/Sec: 371.30 | Pt/Sec: 8859.20 | Max Tile: 13
Prob Thresh: 0.01 | Time:    17 | Score: 155556.0 | Mv/Sec: 378.76 | Pt/Sec: 9150.35 | Max Tile: 13
Prob Thresh: 0.01 | Time:    28 | Score: 267932.0 | Mv/Sec: 360.64 | Pt/Sec: 9569.00 | Max Tile: 14
Prob Thresh: 0.01 | Time:    31 | Score: 286252.0 | Mv/Sec: 351.97 | Pt/Sec: 9233.94 | Max Tile: 14
Prob Thresh: 0.01 | Time:    21 | Score: 177652.0 | Mv/Sec: 357.24 | Pt/Sec: 8459.62 | Max Tile: 13
Prob Thresh: 0.01 | Time:    71 | Score: 627884.0 | Mv/Sec: 313.42 | Pt/Sec: 8843.44 | Max Tile: 15
Prob Thresh: 0.01 | Time:    40 | Score: 354188.0 | Mv/Sec: 331.95 | Pt/Sec: 8854.70 | Max Tile: 14
Prob Thresh: 0.01 | Time:    64 | Score: 581628.0 | Mv/Sec: 315.95 | Pt/Sec: 9087.94 | Max Tile: 15
Prob Thresh: 0.01 | Time:    14 | Score: 130712.0 | Mv/Sec: 388.64 | Pt/Sec: 9336.57 | Max Tile: 13
Prob Thresh: 0.01 | Time:    44 | Score: 378328.0 | Mv/Sec: 328.07 | Pt/Sec: 8598.36 | Max Tile: 14
Prob Thresh: 0.01 | Time:    25 | Score: 235672.0 | Mv/Sec: 349.88 | Pt/Sec: 9426.88 | Max Tile: 14
Prob Thresh: 0.01 | Time:    44 | Score: 378316.0 | Mv/Sec: 328.41 | Pt/Sec: 8598.09 | Max Tile: 14
Prob Thresh: 0.01 | Time:    45 | Score: 378160.0 | Mv/Sec: 319.82 | Pt/Sec: 8403.56 | Max Tile: 14
Prob Thresh: 0.01 | Time:    46 | Score: 382700.0 | Mv/Sec: 317.30 | Pt/Sec: 8319.57 | Max Tile: 14
Prob Thresh: 0.01 | Time:    65 | Score: 597016.0 | Mv/Sec: 319.09 | Pt/Sec: 9184.86 | Max Tile: 15
Prob Thresh: 0.01 | Time:    32 | Score: 290148.0 | Mv/Sec: 348.22 | Pt/Sec: 9067.12 | Max Tile: 14
Prob Thresh: 0.01 | Time:    45 | Score: 378584.0 | Mv/Sec: 321.49 | Pt/Sec: 8412.98 | Max Tile: 14
Prob Thresh: 0.01 | Time:    20 | Score: 175552.0 | Mv/Sec: 366.55 | Pt/Sec: 8777.60 | Max Tile: 13
Prob Thresh: 0.01 | Time:    29 | Score: 268360.0 | Mv/Sec: 348.17 | Pt/Sec: 9253.79 | Max Tile: 14
Prob Thresh: 0.005 | Time:    58 | Score: 367192.0 | Mv/Sec: 240.83 | Pt/Sec: 6330.90 | Max Tile: 14
Prob Thresh: 0.005 | Time:    58 | Score: 367264.0 | Mv/Sec: 241.14 | Pt/Sec: 6332.14 | Max Tile: 14
Prob Thresh: 0.005 | Time:   106 | Score: 695012.0 | Mv/Sec: 226.80 | Pt/Sec: 6556.72 | Max Tile: 15
Prob Thresh: 0.005 | Time:    38 | Score: 267152.0 | Mv/Sec: 265.32 | Pt/Sec: 7030.32 | Max Tile: 14
Prob Thresh: 0.005 | Time:    64 | Score: 386988.0 | Mv/Sec: 232.39 | Pt/Sec: 6046.69 | Max Tile: 14
Prob Thresh: 0.005 | Time:    66 | Score: 387368.0 | Mv/Sec: 226.06 | Pt/Sec: 5869.21 | Max Tile: 14
Prob Thresh: 0.005 | Time:    19 | Score: 130564.0 | Mv/Sec: 285.42 | Pt/Sec: 6871.79 | Max Tile: 13
Prob Thresh: 0.005 | Time:    46 | Score: 290348.0 | Mv/Sec: 242.20 | Pt/Sec: 6311.91 | Max Tile: 14
Prob Thresh: 0.005 | Time:    48 | Score: 290344.0 | Mv/Sec: 232.27 | Pt/Sec: 6048.83 | Max Tile: 14
Prob Thresh: 0.005 | Time:    84 | Score: 528112.0 | Mv/Sec: 217.54 | Pt/Sec: 6287.05 | Max Tile: 15
Prob Thresh: 0.005 | Time:    31 | Score: 177288.0 | Mv/Sec: 240.35 | Pt/Sec: 5718.97 | Max Tile: 13
Prob Thresh: 0.005 | Time:    69 | Score: 382172.0 | Mv/Sec: 212.42 | Pt/Sec: 5538.72 | Max Tile: 14
Prob Thresh: 0.005 | Time:    58 | Score: 343032.0 | Mv/Sec: 225.05 | Pt/Sec: 5914.34 | Max Tile: 14
Prob Thresh: 0.005 | Time:    55 | Score: 329416.0 | Mv/Sec: 223.56 | Pt/Sec: 5989.38 | Max Tile: 14
Prob Thresh: 0.005 | Time:    64 | Score: 366724.0 | Mv/Sec: 217.75 | Pt/Sec: 5730.06 | Max Tile: 14
Prob Thresh: 0.005 | Time:   110 | Score: 626388.0 | Mv/Sec: 201.36 | Pt/Sec: 5694.44 | Max Tile: 15
Prob Thresh: 0.005 | Time:    48 | Score: 290472.0 | Mv/Sec: 232.85 | Pt/Sec: 6051.50 | Max Tile: 14
Prob Thresh: 0.005 | Time:    47 | Score: 290432.0 | Mv/Sec: 237.57 | Pt/Sec: 6179.40 | Max Tile: 14
Prob Thresh: 0.05 | Time:     3 | Score: 34964.0 | Mv/Sec: 604.00 | Pt/Sec: 11654.67 | Max Tile: 11
Prob Thresh: 0.05 | Time:     7 | Score: 80936.0 | Mv/Sec: 540.43 | Pt/Sec: 11562.29 | Max Tile: 12
Prob Thresh: 0.05 | Time:    26 | Score: 324932.0 | Mv/Sec: 470.27 | Pt/Sec: 12497.38 | Max Tile: 14
Prob Thresh: 0.05 | Time:     6 | Score: 61928.0 | Mv/Sec: 481.50 | Pt/Sec: 10321.33 | Max Tile: 12
Prob Thresh: 0.05 | Time:    15 | Score: 173512.0 | Mv/Sec: 482.20 | Pt/Sec: 11567.47 | Max Tile: 13
Prob Thresh: 0.05 | Time:    15 | Score: 169660.0 | Mv/Sec: 473.20 | Pt/Sec: 11310.67 | Max Tile: 13
Prob Thresh: 0.05 | Time:    13 | Score: 155196.0 | Mv/Sec: 490.62 | Pt/Sec: 11938.15 | Max Tile: 13
Prob Thresh: 0.05 | Time:    15 | Score: 175024.0 | Mv/Sec: 489.13 | Pt/Sec: 11668.27 | Max Tile: 13
Prob Thresh: 0.05 | Time:     6 | Score: 71436.0 | Mv/Sec: 544.50 | Pt/Sec: 11906.00 | Max Tile: 12
Prob Thresh: 0.05 | Time:     4 | Score: 41128.0 | Mv/Sec: 524.00 | Pt/Sec: 10282.00 | Max Tile: 11
Prob Thresh: 0.05 | Time:    15 | Score: 175080.0 | Mv/Sec: 487.07 | Pt/Sec: 11672.00 | Max Tile: 13
Prob Thresh: 0.05 | Time:     7 | Score: 77416.0 | Mv/Sec: 508.57 | Pt/Sec: 11059.43 | Max Tile: 12
Prob Thresh: 0.05 | Time:    11 | Score: 133060.0 | Mv/Sec: 506.36 | Pt/Sec: 12096.36 | Max Tile: 13
Prob Thresh: 0.05 | Time:     9 | Score: 109888.0 | Mv/Sec: 497.89 | Pt/Sec: 12209.78 | Max Tile: 13
Prob Thresh: 0.05 | Time:     8 | Score: 80700.0 | Mv/Sec: 468.38 | Pt/Sec: 10087.50 | Max Tile: 12
Prob Thresh: 0.05 | Time:    12 | Score: 140388.0 | Mv/Sec: 486.42 | Pt/Sec: 11699.00 | Max Tile: 13
Prob Thresh: 0.05 | Time:    11 | Score: 133164.0 | Mv/Sec: 508.45 | Pt/Sec: 12105.82 | Max Tile: 13
Prob Thresh: 0.05 | Time:    12 | Score: 154260.0 | Mv/Sec: 531.83 | Pt/Sec: 12855.00 | Max Tile: 13
Prob Thresh: 0.05 | Time:    15 | Score: 174940.0 | Mv/Sec: 488.67 | Pt/Sec: 11662.67 | Max Tile: 13
Prob Thresh: 0.05 | Time:    14 | Score: 158936.0 | Mv/Sec: 473.43 | Pt/Sec: 11352.57 | Max Tile: 13
Prob Thresh: 0.05 | Time:    11 | Score: 143144.0 | Mv/Sec: 522.36 | Pt/Sec: 13013.09 | Max Tile: 13
Prob Thresh: 0.05 | Time:    10 | Score: 117160.0 | Mv/Sec: 491.60 | Pt/Sec: 11716.00 | Max Tile: 13
Prob Thresh: 0.05 | Time:     7 | Score: 75956.0 | Mv/Sec: 506.14 | Pt/Sec: 10850.86 | Max Tile: 12
Prob Thresh: 0.05 | Time:     5 | Score: 61172.0 | Mv/Sec: 571.80 | Pt/Sec: 12234.40 | Max Tile: 12
Prob Thresh: 0.05 | Time:     4 | Score: 51400.0 | Mv/Sec: 584.50 | Pt/Sec: 12850.00 | Max Tile: 12
Prob Thresh: 0.05 | Time:    12 | Score: 129988.0 | Mv/Sec: 454.58 | Pt/Sec: 10832.33 | Max Tile: 13
Prob Thresh: 0.05 | Time:     6 | Score: 72324.0 | Mv/Sec: 559.17 | Pt/Sec: 12054.00 | Max Tile: 12
Prob Thresh: 0.05 | Time:    15 | Score: 177268.0 | Mv/Sec: 495.60 | Pt/Sec: 11817.87 | Max Tile: 13
Prob Thresh: 0.05 | Time:     8 | Score: 133228.0 | Mv/Sec: 702.62 | Pt/Sec: 16653.50 | Max Tile: 13
Prob Thresh: 0.05 | Time:     8 | Score: 133204.0 | Mv/Sec: 700.38 | Pt/Sec: 16650.50 | Max Tile: 13
Prob Thresh: 0.05 | Time:    13 | Score: 247664.0 | Mv/Sec: 726.92 | Pt/Sec: 19051.08 | Max Tile: 14
Prob Thresh: 0.05 | Time:     5 | Score: 85504.0 | Mv/Sec: 805.20 | Pt/Sec: 17100.80 | Max Tile: 12
Prob Thresh: 0.05 | Time:     5 | Score: 80532.0 | Mv/Sec: 749.60 | Pt/Sec: 16106.40 | Max Tile: 12
Prob Thresh: 0.05 | Time:    10 | Score: 177288.0 | Mv/Sec: 746.10 | Pt/Sec: 17728.80 | Max Tile: 13
Prob Thresh: 0.05 | Time:     5 | Score: 80468.0 | Mv/Sec: 746.00 | Pt/Sec: 16093.60 | Max Tile: 12
Prob Thresh: 0.05 | Time:    14 | Score: 280092.0 | Mv/Sec: 758.21 | Pt/Sec: 20006.57 | Max Tile: 14
Prob Thresh: 0.05 | Time:     9 | Score: 170628.0 | Mv/Sec: 794.67 | Pt/Sec: 18958.67 | Max Tile: 13
Prob Thresh: 0.05 | Time:    19 | Score: 339272.0 | Mv/Sec: 675.42 | Pt/Sec: 17856.42 | Max Tile: 14
Prob Thresh: 0.05 | Time:     9 | Score: 164660.0 | Mv/Sec: 756.89 | Pt/Sec: 18295.55 | Max Tile: 13
Prob Thresh: 0.05 | Time:    10 | Score: 179212.0 | Mv/Sec: 755.30 | Pt/Sec: 17921.20 | Max Tile: 13
Prob Thresh: 0.05 | Time:    10 | Score: 176668.0 | Mv/Sec: 743.00 | Pt/Sec: 17666.80 | Max Tile: 13
Prob Thresh: 0.05 | Time:     5 | Score: 81812.0 | Mv/Sec: 765.40 | Pt/Sec: 16362.40 | Max Tile: 12
Prob Thresh: 0.05 | Time:     4 | Score: 72504.0 | Mv/Sec: 838.25 | Pt/Sec: 18126.00 | Max Tile: 12
Prob Thresh: 0.05 | Time:     8 | Score: 156400.0 | Mv/Sec: 813.25 | Pt/Sec: 19550.00 | Max Tile: 13
Prob Thresh: 0.05 | Time:     7 | Score: 133288.0 | Mv/Sec: 801.00 | Pt/Sec: 19041.14 | Max Tile: 13
Prob Thresh: 0.05 | Time:     4 | Score: 77224.0 | Mv/Sec: 886.25 | Pt/Sec: 19306.00 | Max Tile: 12
Prob Thresh: 0.05 | Time:     6 | Score: 116748.0 | Mv/Sec: 811.00 | Pt/Sec: 19458.00 | Max Tile: 13
Prob Thresh: 0.05 | Time:     9 | Score: 175892.0 | Mv/Sec: 819.44 | Pt/Sec: 19543.55 | Max Tile: 13
Prob Thresh: 0.05 | Time:     4 | Score: 75792.0 | Mv/Sec: 883.25 | Pt/Sec: 18948.00 | Max Tile: 12
Prob Thresh: 0.05 | Time:     9 | Score: 177348.0 | Mv/Sec: 830.67 | Pt/Sec: 19705.33 | Max Tile: 13
Prob Thresh: 0.01 | Time:     7 | Score: 80152.0 | Mv/Sec: 528.86 | Pt/Sec: 11450.29 | Max Tile: 12
Prob Thresh: 0.01 | Time:    19 | Score: 246188.0 | Mv/Sec: 490.11 | Pt/Sec: 12957.26 | Max Tile: 14
Prob Thresh: 0.01 | Time:    56 | Score: 625520.0 | Mv/Sec: 393.34 | Pt/Sec: 11170.00 | Max Tile: 15
Prob Thresh: 0.01 | Time:    27 | Score: 322916.0 | Mv/Sec: 448.26 | Pt/Sec: 11959.85 | Max Tile: 14
Prob Thresh: 0.01 | Time:    27 | Score: 314928.0 | Mv/Sec: 436.41 | Pt/Sec: 11664.00 | Max Tile: 14
Prob Thresh: 0.01 | Time:    30 | Score: 343164.0 | Mv/Sec: 435.60 | Pt/Sec: 11438.80 | Max Tile: 14
Prob Thresh: 0.01 | Time:    11 | Score: 129624.0 | Mv/Sec: 491.82 | Pt/Sec: 11784.00 | Max Tile: 13
Prob Thresh: 0.01 | Time:    25 | Score: 290020.0 | Mv/Sec: 445.76 | Pt/Sec: 11600.80 | Max Tile: 14
Prob Thresh: 0.01 | Time:    16 | Score: 165060.0 | Mv/Sec: 427.06 | Pt/Sec: 10316.25 | Max Tile: 13
Prob Thresh: 0.01 | Time:    21 | Score: 175780.0 | Mv/Sec: 349.81 | Pt/Sec: 8370.48 | Max Tile: 13
Prob Thresh: 0.01 | Time:    21 | Score: 172304.0 | Mv/Sec: 344.29 | Pt/Sec: 8204.95 | Max Tile: 13
Prob Thresh: 0.01 | Time:    31 | Score: 290476.0 | Mv/Sec: 362.00 | Pt/Sec: 9370.19 | Max Tile: 14
Prob Thresh: 0.01 | Time:    16 | Score: 176484.0 | Mv/Sec: 460.44 | Pt/Sec: 11030.25 | Max Tile: 13
Prob Thresh: 0.01 | Time:    28 | Score: 320472.0 | Mv/Sec: 426.50 | Pt/Sec: 11445.43 | Max Tile: 14
Prob Thresh: 0.01 | Time:    54 | Score: 599248.0 | Mv/Sec: 386.06 | Pt/Sec: 11097.19 | Max Tile: 15
Prob Thresh: 0.01 | Time:    21 | Score: 246164.0 | Mv/Sec: 443.62 | Pt/Sec: 11722.10 | Max Tile: 14
